Team,Current Over/Under
Atlanta Hawks,UNDER
Boston Celtics,OVER
Brooklyn Nets,OVER
Charlotte Hornets,OVER
Chicago Bulls,OVER
Cleveland Cavaliers,UNDER
Dallas Mavericks,UNDER
Denver Nuggets,OVER
Detroit Pistons,OVER
Golden State Warriors,UNDER
Houston Rockets,OVER
Indiana Pacers,UNDER
Los Angeles Clippers,UNDER
Los Angeles Lakers,OVER
Memphis Grizzlies,UNDER
Miami Heat,OVER
Milwaukee Bucks,UNDER
Minnesota Timberwolves,OVER
New Orleans Pelicans,UNDER
New York Knicks,OVER
Oklahoma City Thunder,OVER
Orlando Magic,UNDER
Philadelphia 76ers,OVER
Phoenix Suns,OVER
Portland Trail Blazers,UNDER
Sacramento Kings,UNDER
San Antonio Spurs,OVER
Toronto Raptors,OVER
Utah Jazz,OVER
Washington Wizards,UNDER
