Team,Adonis_points,adonis_choice,Andy_points,andy_choice,Chester_points,chester_choice,Jake_points,jake_choice,Mary_points,mary_choice,Mike_points,mike_choice,Phil_points,phil_choice,Ryan_points,ryan_choice
Atlanta Hawks,14,UNDER,10,OVER,15,OVER,10,UNDER,10,OVER,14,OVER,14,OVER,6,UNDER
Boston Celtics,14,UNDER,9,OVER,7,OVER,10,OVER,6,OVER,7,OVER,11,OVER,12,OVER
Brooklyn Nets,8,UNDER,12,OVER,8,OVER,8,OVER,6,OVER,10,UNDER,9,UNDER,7,OVER
Charlotte Hornets,13,UNDER,14,UNDER,11,UNDER,9,OVER,13,UNDER,8,OVER,6,UNDER,6,UNDER
Chicago Bulls,8,OVER,9,UNDER,13,OVER,14,OVER,10,OVER,12,OVER,10,OVER,11,UNDER
Cleveland Cavaliers,12,OVER,15,OVER,14,UNDER,15,OVER,15,OVER,15,OVER,11,OVER,7,UNDER
Dallas Mavericks,6,OVER,9,UNDER,6,UNDER,6,OVER,7,UNDER,6,OVER,8,UNDER,15,OVER
Denver Nuggets,7,OVER,14,OVER,13,OVER,6,OVER,15,OVER,13,OVER,15,OVER,15,OVER
Detroit Pistons,10,OVER,13,OVER,10,OVER,12,OVER,13,OVER,9,UNDER,6,UNDER,14,UNDER
Golden State Warriors,13,OVER,8,UNDER,13,OVER,7,UNDER,7,OVER,11,OVER,14,OVER,11,UNDER
Houston Rockets,11,UNDER,14,UNDER,14,OVER,6,OVER,14,OVER,13,UNDER,10,OVER,7,OVER
Indiana Pacers,9,UNDER,8,OVER,8,UNDER,9,UNDER,7,OVER,7,UNDER,12,OVER,8,UNDER
Los Angeles Clippers,6,OVER,8,UNDER,11,UNDER,7,UNDER,10,UNDER,12,OVER,7,UNDER,8,UNDER
Los Angeles Lakers,11,UNDER,12,UNDER,12,OVER,7,UNDER,11,OVER,12,UNDER,9,UNDER,6,UNDER
Memphis Grizzlies,6,OVER,7,OVER,9,OVER,12,OVER,9,OVER,6,UNDER,8,OVER,13,OVER
Miami Heat,15,UNDER,7,OVER,10,UNDER,12,OVER,11,OVER,8,OVER,9,OVER,8,OVER
Milwaukee Bucks,8,OVER,13,OVER,9,UNDER,15,OVER,9,OVER,15,OVER,8,OVER,14,OVER
Minnesota Timberwolves,13,UNDER,7,OVER,7,UNDER,14,OVER,11,OVER,13,OVER,13,UNDER,14,OVER
New Orleans Pelicans,10,OVER,6,UNDER,12,OVER,10,OVER,14,UNDER,11,OVER,12,UNDER,9,UNDER
New York Knicks,12,OVER,6,UNDER,9,UNDER,13,UNDER,9,OVER,14,OVER,7,UNDER,15,OVER
Oklahoma City Thunder,9,OVER,15,UNDER,14,UNDER,15,UNDER,15,OVER,15,OVER,15,OVER,9,UNDER
Orlando Magic,9,UNDER,10,OVER,15,OVER,14,UNDER,12,OVER,10,UNDER,13,OVER,9,OVER
Philadelphia 76ers,15,OVER,11,UNDER,10,UNDER,11,UNDER,12,UNDER,7,UNDER,14,UNDER,13,OVER
Phoenix Suns,12,OVER,10,UNDER,12,UNDER,13,OVER,6,UNDER,8,UNDER,15,UNDER,13,UNDER
Portland Trail Blazers,15,UNDER,11,UNDER,8,OVER,11,UNDER,13,UNDER,10,UNDER,12,OVER,10,UNDER
Sacramento Kings,11,OVER,12,UNDER,6,UNDER,11,OVER,8,OVER,11,UNDER,11,UNDER,10,OVER
San Antonio Spurs,10,OVER,15,OVER,15,OVER,13,OVER,8,OVER,6,OVER,6,UNDER,12,OVER
Toronto Raptors,14,UNDER,6,UNDER,11,UNDER,9,UNDER,8,UNDER,14,OVER,13,UNDER,10,UNDER
Utah Jazz,7,OVER,13,OVER,7,OVER,8,OVER,12,UNDER,9,UNDER,7,OVER,11,OVER
Washington Wizards,7,UNDER,11,OVER,6,OVER,8,OVER,14,UNDER,9,UNDER,10,UNDER,12,UNDER
