country,region,subRegion,year,lifeExp,pop,gdpPercap,dem_rank,basic_rank,democratic
Algeria,Africa,Northern Africa,1962.0,48.303,11000948,2550.81688,Strongly Autocratic,Autocratic,Not Democratic
Benin,Africa,Western Africa,1962.0,42.618,2151895,949.4990641,Middle of the Road,Middle of the Road,Not Democratic
Burkina Faso,Africa,Western Africa,1962.0,37.814,4919632,722.5120206,Strongly Autocratic,Autocratic,Not Democratic
Burundi,Africa,Eastern Africa,1962.0,42.045,2961915,355.2032273,Middle of the Road,Middle of the Road,Not Democratic
Cameroon,Africa,Middle Africa,1962.0,42.643,5793633,1399.607441,Mildly Autocratic,Autocratic,Not Democratic
Chad,Africa,Middle Africa,1962.0,41.716,3150417,1389.817618,Strongly Autocratic,Autocratic,Not Democratic
"Congo, Dem. Rep.",Africa,Middle Africa,1962.0,42.122,17486434,896.3146335,Middle of the Road,Middle of the Road,Not Democratic
"Congo, Rep.",Africa,Middle Africa,1962.0,48.435,1047924,2464.783157,Mildly Democratic,Democratic,Democratic
Cote d'Ivoire,Africa,Western Africa,1962.0,44.93,3832408,1728.869428,Strongly Autocratic,Autocratic,Not Democratic
Egypt,Africa,Northern Africa,1962.0,46.992,28173309,1693.335853,Strongly Autocratic,Autocratic,Not Democratic
Ethiopia,Africa,Eastern Africa,1962.0,40.059,25145372,419.4564161,Strongly Autocratic,Autocratic,Not Democratic
Gabon,Africa,Middle Africa,1962.0,40.489,455661,6631.459222,Strongly Autocratic,Autocratic,Not Democratic
Ghana,Africa,Western Africa,1962.0,46.452,7355248,1190.041118,Strongly Autocratic,Autocratic,Not Democratic
Guinea,Africa,Western Africa,1962.0,35.753,3140003,686.3736739,Strongly Autocratic,Autocratic,Not Democratic
Liberia,Africa,Western Africa,1962.0,40.502,1112796,634.1951625,Mildly Autocratic,Autocratic,Not Democratic
Libya,Africa,Northern Africa,1962.0,47.808,1441863,6757.030816,Strongly Autocratic,Autocratic,Not Democratic
Madagascar,Africa,Eastern Africa,1962.0,40.848,5703324,1643.38711,Middle of the Road,Middle of the Road,Not Democratic
Mali,Africa,Western Africa,1962.0,36.936,4690372,496.1743428,Strongly Autocratic,Autocratic,Not Democratic
Mauritania,Africa,Western Africa,1962.0,44.248,1146757,1055.896036,Strongly Autocratic,Autocratic,Not Democratic
Morocco,Africa,Northern Africa,1962.0,47.924,13056604,1566.353493,Mildly Autocratic,Autocratic,Not Democratic
Niger,Africa,Western Africa,1962.0,39.487,4076008,997.7661127,Strongly Autocratic,Autocratic,Not Democratic
Nigeria,Africa,Western Africa,1962.0,39.36,41871351,1150.927478,Strongly Democratic,Democratic,Democratic
Rwanda,Africa,Eastern Africa,1962.0,43.0,3051242,597.4730727,Mildly Autocratic,Autocratic,Not Democratic
Senegal,Africa,Western Africa,1962.0,41.454,3430243,1654.988723,Mildly Autocratic,Autocratic,Not Democratic
Sierra Leone,Africa,Western Africa,1962.0,32.767,2467895,1116.639877,Mildly Democratic,Democratic,Democratic
Somalia,Africa,Eastern Africa,1962.0,36.981,3080153,1369.488336,Strongly Democratic,Democratic,Democratic
South Africa,Africa,Southern Africa,1962.0,49.951,18356657,5768.729717,Mildly Democratic,Democratic,Democratic
Sudan,Africa,Northern Africa,1962.0,40.87,11183227,1959.593767,Strongly Autocratic,Autocratic,Not Democratic
Tanzania,Africa,Eastern Africa,1962.0,44.246,10863958,722.0038073,Mildly Autocratic,Autocratic,Not Democratic
Togo,Africa,Western Africa,1962.0,43.922,1528098,1067.53481,Mildly Autocratic,Autocratic,Not Democratic
Tunisia,Africa,Northern Africa,1962.0,49.579,4286552,1660.30321,Strongly Autocratic,Autocratic,Not Democratic
Uganda,Africa,Eastern Africa,1962.0,45.344,7688797,767.2717398,Strongly Democratic,Democratic,Democratic
